"Line","Fields","Drug","MechAr"
"17123","Mechanism, Effect","'Theophylline', 'Ciprofloxacin / Enoxacin', InteractionType.DRUG_DRUG,","'تثبيط CYP1A2.',"
"17138","Management","'Theophylline', 'Phenytoin / Carbamazepine', InteractionType.DRUG_DRUG",""
"17140","Effect, Management","'Theophylline', 'Rifampin', InteractionType.DRUG_DRUG, InteractionSeve",""
"17142","Mechanism, Effect","'Theophylline', 'Smoking (Tobacco)', InteractionType.DRUG_FOOD, Intera","'تحفيز CYP1A2.',"
"17151","Mechanism, Effect","'Theophylline', 'Ciprofloxacin', InteractionType.DRUG_DRUG, Interactio","'تثبيط إنزيم CYP1A2',"
"17160","Mechanism, Effect","'Thiazides', 'Gout', InteractionType.DRUG_DISEASE, InteractionSeverity","'تقليل إخراج اليوريك.',"
"17173","Management","'Thioridazine', 'Benztropine', InteractionType.DRUG_DRUG, InteractionS",""
"17175","Effect, Management","'Thioridazine', 'Ethanol - إيثانول', InteractionType.DRUG_DRUG, Intera",""
"17177","Mechanism, Effect","'Thioridazine', 'Paroxetine - باروكسيتين', InteractionType.DRUG_DRUG, ","'تزداد فعالية الفينوثيازين (عن طريق تثبيط استقلابه) - تزداد "
"17585","Mechanism, Effect","'Warfarin', 'Vitamin K (Spinach, Liver)', InteractionType.DRUG_FOOD, I","'تضاد دوائي (Antagonism).',"
"17594","Effect, Management","'Warfarin', 'Cranberry Juice', InteractionType.DRUG_FOOD, InteractionS",""
"17596","Mechanism, Effect","'Warfarin', 'Ginkgo Biloba / Garlic / Ginger', InteractionType.DRUG_FO","'تأثير مضاد للصفائح.',"
"17607","Management","'Warfarin', 'Ketoconazole', InteractionType.DRUG_DRUG, InteractionSeve",""
"17609","Effect, Management","'Warfarin', 'Voriconazole', InteractionType.DRUG_DRUG, InteractionSeve",""
"17611","Mechanism, Effect","'Warfarin', 'Green Leafy Vegetables (Vitamin K)', InteractionType.DRUG","'فيتامين K يعاكس عمل الوارفارين (عامل تجلط).',"
"17620","Mechanism, Effect","'Warfarin (وارفارين)', 'Cefalosporin (مثل Ceftriaxone)', InteractionTy","'آلية غير محددة تؤدي لزيادة فعالية الوارفارين.',"
"17629","Mechanism, Effect","'Yasmin', 'Aspirin', InteractionType.DRUG_DRUG, InteractionSeverity.HI","'زيادة مستويات البوتاسيوم',"
"17638","Mechanism, Effect","'Zidovudine (زيدوفودين)', 'Atovaquone (أتوفاكوين)', InteractionType.DR","'زيادة تراكيز الزيدوفودين في الدم.',"
"17653","Management","'Zinc', 'Quetiapine', InteractionType.DRUG_DRUG, InteractionSeverity.M",""
"17655","Effect, Management","'Zinc', 'Clozapine', InteractionType.DRUG_DRUG, InteractionSeverity.MO",""
"17657","Mechanism, Effect","'Clofibrate', 'Warfarin', InteractionType.DRUG_DRUG, InteractionSeveri","'إزاحة الوارفارين عن ارتباطه ببروتينات البلازما',"
"17666","Mechanism, Effect","'Gemfibrozil', 'Statins (HMG-CoA Reductase Inhibitors)', InteractionTy","'تثبيط استقلاب الستاتينات',"
"17675","Mechanism, Effect","'Probucol', 'Cyclosporine', InteractionType.DRUG_DRUG, InteractionSeve","'تأثير غير محدد',"
"17684","Mechanism, Effect","'Chlorpropamide', 'Dicumarol', InteractionType.DRUG_DRUG, InteractionS","'تثبيط استقلاب الكلوربروباميد',"
"17693","Mechanism, Effect","'Chlorpropamide', 'Urinary Alkalinizers (Sodium Acetate, Potassium Cit","'يزداد إطراح الكلوربروباميد',"
"17702","Mechanism, Effect","'Glimepiride', 'Fluconazole', InteractionType.DRUG_DRUG, InteractionSe","'تثبيط استقلاب الغليمبريد (CYP2C9)',"
"17713","Management","'Tolbutamide', 'Fluconazole', InteractionType.DRUG_DRUG, InteractionSe",""
"17715","Effect, Management","'Tolbutamide', 'Sulfinpyrazone', InteractionType.DRUG_DRUG, Interactio",""
"17717","Mechanism, Effect","'Insulin', 'Beta Blockers (Non-selective)', InteractionType.DRUG_DRUG,","'حجب أعراض هبوط سكر الدم (مثل تسرع القلب والرعشة)',"
"17726","Mechanism, Effect","'Insulin', 'Ethanol', InteractionType.DRUG_DRUG, InteractionSeverity.M","'تثبيط تكوين الجلوكوز في الكبد',"
"17735","Mechanism, Effect","'Insulin', 'MAO Inhibitors (Isocarboxazid, Phenelzine, Tranylcypromine","'تحفيز إفراز الأنسولين',"
"17744","Mechanism, Effect","'Insulin', 'Salicylates (Aspirin, Magnesium Salicylate, Sodium Salicyl","'زيادة حساسية الأنسولين',"
"17753","Mechanism, Effect","'Metformin', 'Cimetidine', InteractionType.DRUG_DRUG, InteractionSever","'تثبيط إطراح الميتفورمين الكلوي',"
"17762","Mechanism, Effect","'Metformin', 'Iodine Contrast Media', InteractionType.DRUG_DRUG, Inter","'خطر الفشل الكلوي الحاد وتراكم الميتفورمين',"
"17771","Mechanism, Effect","'Antacids (Aluminum, Calcium, Magnesium Salts)', 'Iron Salts (Ferrous ","'تقليل امتصاص الحديد (يحتاج وسط حامضي)',"
"17780","Mechanism, Effect","'Antacids (Aluminum, Calcium, Magnesium Salts)', 'Ketoconazole', Inter","'تقليل امتصاص الكيتوكونازول (يحتاج وسط حامضي)',"
"17789","Mechanism, Effect","'Antacids (Aluminum, Calcium, Magnesium Salts)', 'Quinidine', Interact","'قلونة البول تقلل إطراح الكينيدين',"
"17798","Mechanism, Effect","'Antacids (Aluminum, Calcium, Magnesium Salts)', 'Quinolones (Ciproflo","'تشكيل معقدات غير قابلة للامتصاص (Chelation)',"
"17807","Mechanism, Effect","'Antacids (Aluminum, Calcium, Magnesium Salts)', 'Polystyrene Sulfonat","'تفاعل كيميائي يسبب قلوية استقلابية',"
"17816","Mechanism, Effect","'Antacids (Aluminum, Calcium, Magnesium Salts)', 'Tetracyclines (Doxyc","'تشكيل معقدات غير قابلة للامتصاص (Chelation)',"
"17825","Mechanism, Effect","'Cimetidine', 'Beta Blockers (Propranolol, Metoprolol, Labetalol)', In","'تثبيط استقلاب حاصرات بيتا في الكبد',"
"17834","Mechanism, Effect","'Cimetidine', 'Carbamazepine', InteractionType.DRUG_DRUG, InteractionS","'تثبيط استقلاب الكاربامازيبين',"
"17843","Mechanism, Effect","'Cimetidine', 'Lidocaine', InteractionType.DRUG_DRUG, InteractionSever","'تثبيط استقلاب الليدوكائين',"
"17852","Mechanism, Effect","'Cimetidine', 'Phenytoin', InteractionType.DRUG_DRUG, InteractionSever","'تثبيط استقلاب الفينيتوين',"
"17861","Mechanism, Effect","'Cimetidine', 'Theophylline', InteractionType.DRUG_DRUG, InteractionSe","'تثبيط استقلاب الثيوفيللين',"
"17870","Mechanism, Effect","'Cimetidine', 'Nifedipine', InteractionType.DRUG_DRUG, InteractionSeve","'تثبيط استقلاب النيفيديبين',"
"17879","Mechanism, Effect","'Cimetidine', 'Praziquantel', InteractionType.DRUG_DRUG, InteractionSe","'تثبيط استقلاب البرازيكوانتيل',"
"17888","Mechanism, Effect","'Cimetidine', 'Procainamide (بروكاييناميد)', InteractionType.DRUG_DRUG","'تثبيط إطراح البروكاييناميد الكلوي',"
"17897","Mechanism, Effect","'Cimetidine', 'Quinidine', InteractionType.DRUG_DRUG, InteractionSever","'تثبيط استقلاب الكينيدين',"
"17906","Mechanism, Effect","'Cimetidine', 'TCAs (Amitriptyline, Imipramine, Nortriptyline, etc.)',","'تثبيط استقلاب مضادات الاكتئاب',"
"17915","Mechanism, Effect","'Loop Diuretics (Furosemide, Bumetanide, Torsemide)', 'Thiazide Diuret","'تأثير إدراري تآزري مفرط',"
"17924","Mechanism, Effect","'Furosemide', 'Cholestyramine', InteractionType.DRUG_DRUG, Interaction","'تقليل الامتصاص المعدي المعوي للفوروسيميد',"
"17933","Mechanism, Effect","'Furosemide', 'Colestipol', InteractionType.DRUG_DRUG, InteractionSeve","'تقليل الامتصاص المعدي المعوي للفوروسيميد',"
"17942","Mechanism, Effect","'Corticosteroids (General)', 'Anticholinergics (Atropine, Ipratropium,","'ارتفاع ضغط العين',"
"17951","Mechanism, Effect","'Corticosteroids (General)', 'Aspirin', InteractionType.DRUG_DRUG, Int","'الكورتيكوستيرويدات تزيد تصفية الأسبرين من الجسم',"
"17960","Mechanism, Effect","'Dexamethasone', 'Aminoglutethimide', InteractionType.DRUG_DRUG, Inter","'الأمينوغلوتيثيميد يسرع تكسير الديكساميثازون',"
"17969","Mechanism, Effect","'Hydrocortisone', 'Cholestyramine (Colestipol)', InteractionType.DRUG_","'يقلل الامتصاص',"
"17978","Mechanism, Effect","'Theophylline', 'Isoproterenol', InteractionType.DRUG_DRUG, Interactio","'زيادة مستوى الثيوفيلين بالدم',"
"17987","Mechanism, Effect","'Theophylline', 'Cimetidine', InteractionType.DRUG_DRUG, InteractionSe","'السيميتيدين يبطئ تكسير الثيوفيلين',"
"17996","Mechanism, Effect","'Theophylline', 'Oral Contraceptives', InteractionType.DRUG_DRUG, Inte","'موانع الحمل تبطئ تكسير الثيوفيلين',"
"18005","Mechanism, Effect","'Theophylline', 'Disulfiram', InteractionType.DRUG_DRUG, InteractionSe","'الديسلفيرام يبطئ تكسير الثيوفيلين',"
"18014","Mechanism, Effect","'Theophylline', 'Disopyramide', InteractionType.DRUG_DRUG, Interaction","'زيادة مستوى الثيوفيلين',"
"18023","Mechanism, Effect","'Theophylline', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity","'تأثير الطعام يختلف حسب نوع الدواء',"
"18032","Mechanism, Effect","'Theophylline', 'Mexiletine', InteractionType.DRUG_DRUG, InteractionSe","'الميكسيليتين يبطئ تكسير الثيوفيلين',"
"18041","Mechanism, Effect","'Theophylline', 'Thiabendazole', InteractionType.DRUG_DRUG, Interactio","'الثيابيندازول يبطئ تكسير الثيوفيلين',"
"18050","Mechanism, Effect","'Theophylline', 'Ticlopidine', InteractionType.DRUG_DRUG, InteractionS","'التيكلوبيدين يبطئ تكسير الثيوفيلين',"
"18059","Mechanism, Effect","'Theophylline', 'Zileuton', InteractionType.DRUG_DRUG, InteractionSeve","'الزيلوتون يبطئ تكسير الثيوفيلين بشكل كبير',"
"18068","Mechanism, Effect","'Clarithromycin', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Inter","'تثبيط CYP3A4',"
"18077","Mechanism, Effect","'Metronidazole', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSeve","'يمنع تفكيك acetaldehyde',"
"18086","Mechanism, Effect","'Metronidazole', 'Histamine-Rich Foods', InteractionType.DRUG_FOOD, In","'بطء تفكيك الهيستامين',"
"18095","Mechanism, Effect","'Linezolid', 'Tyramine-Rich Foods (Aged Cheese, Salami, Soy Sauce, Pic","'منع تكسير التيرامين',"
"18104","Mechanism, Effect","'Clindamycin', 'Fatty Foods', InteractionType.DRUG_FOOD, InteractionSe","'تهيج المعدة',"
"18113","Mechanism, Effect","'Rifampicin', 'High-Fat Foods', InteractionType.DRUG_FOOD, Interaction","'تبطئ الامتصاص',"
"18122","Effect, Management","'Rifampicin', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSeverit",""
"18124","Mechanism, Effect","'Warfarin', 'Vitamin K-Rich Foods (Spinach, Kale, Broccoli, Cabbage)',","'فيتامين K يعاكس مفعول الوارفارين',"
"18133","Effect, Management","'Warfarin', 'Cranberry Juice', InteractionType.DRUG_FOOD, InteractionS",""
"18135","Mechanism, Effect","'Warfarin', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSeverity.","'زيادة خطر النزيف وتأثير على الكبد',"
"18144","Mechanism, Effect","'MAO Inhibitors (Phenelzine, Tranylcypromine, Isocarboxazid)', 'Tyrami","'تراكم التيرامين - ارتفاع مفاجئ في ضغط الدم',"
"18153","Mechanism, Effect","'Levothyroxine', 'Soy Products', InteractionType.DRUG_FOOD, Interactio","'منع امتصاص الهرمون',"
"18162","Management","'Levothyroxine', 'High-Fiber Foods', InteractionType.DRUG_FOOD, Intera",""
"18164","Effect, Management","'Levothyroxine', 'Coffee', InteractionType.DRUG_FOOD, InteractionSever",""
"18166","Mechanism, Effect","'Levothyroxine', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Intera","'تأخير الامتصاص',"
"18175","Effect, Management","'Digoxin', 'High-Fiber Foods', InteractionType.DRUG_FOOD, InteractionS",""
"18177","Mechanism, Effect","'Digoxin', 'Licorice (عرق السوس)', InteractionType.DRUG_FOOD, Interact","'نقص البوتاسيوم',"
"18186","Effect, Management","'Methotrexate', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSever",""
"18188","Mechanism, Effect","'Insulin', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSeverity.H","'الكحول يمنع إنتاج السكر من الكبد',"
"18197","Mechanism, Effect","'Lithium', 'High-Sodium Foods', InteractionType.DRUG_FOOD, Interaction","'الصوديوم يقلل مستوى الليثيوم',"
"18206","Mechanism, Effect","'Lithium', 'Caffeine', InteractionType.DRUG_FOOD, InteractionSeverity.","'الكافيين يزيد إخراج الليثيوم',"
"18215","Mechanism, Effect","'Metformin', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSeverity","'زيادة خطر الحماض اللاكتيكي',"
"18224","Mechanism, Effect","'Phenytoin', 'Folic Acid-Rich Foods', InteractionType.DRUG_FOOD, Inter","'حمض الفوليك يقلل الفينيتوين',"
"18233","Mechanism, Effect","'Phenytoin', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSeverity","'تأثير متغير على مستوى الدواء',"
"18242","Mechanism, Effect","'Aspirin (High Dose)', 'Vitamin C (High Dose)', InteractionType.DRUG_F","'فيتامين C يزيد امتصاص الأسبرين',"
"18251","Mechanism, Effect","'Iron Supplements', 'Tea/Coffee', InteractionType.DRUG_FOOD, Interacti","'التانينات ترتبط بالحديد',"
"18260","Mechanism, Effect","'Iron Supplements', 'Dairy Products', InteractionType.DRUG_FOOD, Inter","'الكالسيوم يمنع امتصاص الحديد',"
"18269","Management","'Calcium Supplements', 'High-Fiber Foods', InteractionType.DRUG_FOOD, ",""
"18271","Effect, Management","'Acetaminophen', 'Alcohol', InteractionType.DRUG_FOOD, InteractionSeve",""
"18273","Mechanism, Effect","'Cyclosporine', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Interac","'زيادة كبيرة في مستوى الدواء',"
"18282","Mechanism, Effect","'Cyclosporine', 'High-Fat Foods', InteractionType.DRUG_FOOD, Interacti","'زيادة الامتصاص',"
"18291","Mechanism, Effect","'Propranolol', 'Food (High-Protein)', InteractionType.DRUG_FOOD, Inter","'الطعام يزيد الامتصاص',"
"18300","Mechanism, Effect","'Ketoconazole', 'Acidic Beverages (Cola, Orange Juice)', InteractionTy","'يحتاج وسط حمضي للامتصاص',"
"18309","Mechanism, Effect","'Rivaroxaban', 'Food (High-Fat Meal)', InteractionType.DRUG_FOOD, Inte","'الطعام الدسم يزيد التوافر الحيوي بنسبة 39% لجرعة 20 ملغ عبر"
"18318","Mechanism, Effect","'Apixaban', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.LOW","'لا تأثير ذو دلالة إحصائية على الحرائك الدوائية - التوافر ال"
"18327","Mechanism, Effect","'Dabigatran', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.L","'الطعام يؤخر الامتصاص (Tmax) لكن لا يؤثر على المساحة تحت الم"
"18336","Mechanism, Effect","'Carbamazepine', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Intera","'تثبيط CYP3A4 المعوي يزيد التوافر الحيوي عبر تقليل استقلاب ا"
"18345","Mechanism, Effect","'Valproic Acid', 'Food', InteractionType.DRUG_FOOD, InteractionSeverit","'الطعام يؤخر الامتصاص ويقلل تهيج المعدة دون تأثير على التواف"
"18354","Mechanism, Effect","'Lamotrigine', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.","'لا تأثير على الحرائك الدوائية - الامتصاص كامل بغض النظر عن "
"18363","Mechanism, Effect","'Tacrolimus', 'Food (High-Fat)', InteractionType.DRUG_FOOD, Interactio","'الطعام الدسم يقلل Cmax بنسبة 27% و AUC بنسبة 35% - تأخير تف"
"18372","Mechanism, Effect","'Mycophenolate', 'Food', InteractionType.DRUG_FOOD, InteractionSeverit","'الطعام يقلل Cmax بنسبة 40% لكن AUC تنخفض فقط 15% - التأثير "
"18381","Mechanism, Effect","'Sirolimus', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Interactio","'تثبيط قوي لـ CYP3A4 و P-glycoprotein المعويين - زيادة التوا"
"18390","Mechanism, Effect","'Itraconazole', 'Cola/Acidic Beverages', InteractionType.DRUG_FOOD, In","'الإيتراكونازول يحتاج pH حمضي للانحلال - المشروبات الحمضية ت"
"18399","Mechanism, Effect","'Posaconazole (Suspension)', 'High-Fat Meal', InteractionType.DRUG_FOO","'الطعام الدسم يزيد AUC بنسبة 400% - تحسين الانحلال والامتصاص"
"18408","Mechanism, Effect","'Voriconazole', 'High-Fat Meal', InteractionType.DRUG_FOOD, Interactio","'الطعام الدسم يقلل Cmax بنسبة 34% و AUC بنسبة 24% - آلية غير"
"18417","Mechanism, Effect","'Atazanavir', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.H","'الطعام يزيد التوافر الحيوي بنسبة 70% - زيادة الانحلالية في "
"18426","Mechanism, Effect","'Rilpivirine', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.","'الطعام يزيد AUC بنسبة 40% - يحتاج وسط حمضي لانحلال أمثل',"
"18435","Mechanism, Effect","'Efavirenz', 'High-Fat Meal', InteractionType.DRUG_FOOD, InteractionSe","'الطعام الدسم يزيد Cmax بنسبة 79% و AUC بنسبة 28% - زيادة خط"
"18444","Mechanism, Effect","'Sofosbuvir/Velpatasvir', 'Food', InteractionType.DRUG_FOOD, Interacti","'تأثير طفيف على الحرائك الدوائية - التوافر الحيوي مستقر',"
"18453","Mechanism, Effect","'Glecaprevir/Pibrentasvir', 'Food', InteractionType.DRUG_FOOD, Interac","'الطعام يزيد امتصاص Glecaprevir (83-153%) و Pibrentasvir (40"
"18462","Mechanism, Effect","'Empagliflozin', 'Food', InteractionType.DRUG_FOOD, InteractionSeverit","'الطعام يقلل Cmax بنسبة 37% ويؤخر Tmax لكن لا يؤثر على AUC',"
"18471","Mechanism, Effect","'Liraglutide', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.","'حقن تحت الجلد - لا تفاعل مباشر لكن يؤخر تفريغ المعدة',"
"18480","Mechanism, Effect","'Imatinib', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.MOD","'الطعام يقلل تهيج المعدة دون تأثير كبير على التوافر الحيوي',"
"18489","Mechanism, Effect","'Erlotinib', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.HI","'الطعام يزيد التوافر الحيوي بشكل كبير وغير متوقع - يؤثر على "
"18498","Mechanism, Effect","'Sunitinib', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.LO","'لا تأثير مهم على الحرائك الدوائية',"
"18507","Mechanism, Effect","'Lapatinib', 'High-Fat Meal', InteractionType.DRUG_FOOD, InteractionSe","'الطعام الدسم يزيد AUC بنسبة 325% و Cmax بنسبة 284% - زيادة "
"18516","Mechanism, Effect","'Lovastatin', 'Food', InteractionType.DRUG_FOOD, InteractionSeverity.M","'الطعام يزيد التوافر الحيوي بنسبة 50% - تحسين الانحلالية',"
"18525","Mechanism, Effect","'Fludrocortisone', 'High-Sodium Foods', InteractionType.DRUG_FOOD, Int","'الفلودروكورتيزون يحتفظ بالصوديوم عبر المستقبلات المعدنية - "
"18534","Mechanism, Effect","'Midazolam', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Interactio","'تثبيط CYP3A4 المعوي يزيد التوافر الحيوي بنسبة 50% - تقليل ا"
"18543","Mechanism, Effect","'Triazolam', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Interactio","'تثبيط CYP3A4 - زيادة مستوى الدواء بنسبة 25%',"
"18552","Mechanism, Effect","'Atovaquone', 'High-Fat Meal', InteractionType.DRUG_FOOD, InteractionS","'الطعام الدسم يزيد التوافر الحيوي بنسبة 300% - دواء شديد الذ"
"18561","Mechanism, Effect","'Allopurinol', 'Vitamin C (High Dose)', InteractionType.DRUG_FOOD, Int","'فيتامين C يحمض البول ويزيد خطر تكون حصوات حمض اليوريك',"
"18570","Mechanism, Effect","'Colchicine', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Interacti","'تثبيط CYP3A4 و P-glycoprotein - زيادة مستوى الكولشيسين',"
"18579","Mechanism, Effect","'Buspirone', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Interactio","'تثبيط CYP3A4 المعوي - زيادة التوافر الحيوي بنسبة تصل 900%',"
"18590","Management","'Valproic Acid', 'Liver Disease / Hepatic Impairment', InteractionType",""
"18592","Effect, Management","'Statins', 'Liver Disease / Hepatic Impairment', InteractionType.DRUG_",""
"18594","Mechanism, Effect","'Acetaminophen', 'Liver Disease / Hepatic Impairment', InteractionType","'انخفاض قدرة الكبد على إزالة سمية المستقلب NAPQI - تراكم الم"
"18603","Mechanism, Effect","'Warfarin', 'Liver Disease / Hepatic Impairment', InteractionType.DRUG","'انخفاض تصنيع عوامل التخثر + انخفاض استقلاب الوارفارين',"
"18612","Mechanism, Effect","'Benzodiazepines', 'Liver Disease / Hepatic Impairment', InteractionTy","'انخفاض الاستقلاب الكبدي - تراكم - زيادة التخدير - خطر اعتلا"
"18621","Mechanism, Effect","'Acetaminophen', 'Warfarin', InteractionType.DRUG_DRUG, InteractionSev","'الجرعات العالية من الأسيتامينوفين قد تثبط تخليق عوامل التخث"
"18630","Mechanism, Effect","'Calcium Acetate', 'Tetracyclines', InteractionType.DRUG_DRUG, Interac","'يشكل الكالسيوم معقدات غير قابلة للامتصاص مع التتراسيكلينات "
"18639","Mechanism, Effect","'Acetohexamide', 'Ethanol', InteractionType.DRUG_DRUG, InteractionSeve","'يثبط الإيثانول استحداث السكر في الكبد، ويزيد من تأثير الأسي"
"18648","Mechanism, Effect","'Acyclovir', 'Theophylline', InteractionType.DRUG_DRUG, InteractionSev","'الأسيكلوفير قد يقلل من تصفية الثيوفيلين الكلوية، ربما بسبب "
"18657","Mechanism, Effect","'Adenosine', 'Dipyridamole', InteractionType.DRUG_DRUG, InteractionSev","'يثبط الديبيريدامول امتصاص الأدينوزين في الخلايا، مما يزيد م"
"18666","Mechanism, Effect","'Teriflunomide', 'Warfarin', InteractionType.DRUG_DRUG, InteractionSev","'قد يقلل تيريفلونوميد من مستويات الوارفارين من خلال تحفيز إن"
"18675","Mechanism, Effect","'Amoxicillin/Clavulanate', 'Warfarin', InteractionType.DRUG_DRUG, Inte","'تثبيط الفلورا البكتيرية المنتجة لفيتامين K',"
"18684","Mechanism, Effect","'Deutetrabenazine', 'MAO Inhibitors', InteractionType.DRUG_DRUG, Inter","'تثبيط متبادل لاستقلاب الأمينات الأحادية',"
"18693","Mechanism, Effect","'Dextromethorphan/Bupropion', 'MAO Inhibitors', InteractionType.DRUG_D","'متلازمة السيروتونين بسبب تثبيط استقلاب الديكستروميثورفان',"
"18702","Mechanism, Effect","'Epinephrine', 'Beta-Blockers', InteractionType.DRUG_DRUG, Interaction","'تضاد في التأثير على مستقبلات الأدرينالية',"
"18711","Mechanism, Effect","'Avacincaptad Pegol', 'Drugs affecting bleeding', InteractionType.DRUG","'زيادة خطر النزف بسبب التأثير على نظام المكمل',"
"18720","Mechanism, Effect","'Interferon beta-1a', 'Myelosuppressive drugs', InteractionType.DRUG_D","'تأثير مثبط للنخاع العظمي متراكم',"
"18729","Mechanism, Effect","'Infliximab', 'Live vaccines', InteractionType.DRUG_DRUG, InteractionS","'تثبيط الجهاز المناعي يزيد من خطر عدوى اللقاحات الحية',"
"18738","Mechanism, Effect","'Azathioprine', 'Allopurinol', InteractionType.DRUG_DRUG, InteractionS","'تثبيط إنزيم xanthine oxidase يقلل من استقلاب الأزاثيوبرين',"
"18747","Effect, Management","'Azelastine', 'CNS Depressants', InteractionType.DRUG_DRUG, Interactio",""
"18749","Mechanism, Effect","'Rasagiline', 'SSRIs', InteractionType.DRUG_DRUG, InteractionSeverity.","'متلازمة السيروتونين بسبب تثبيط MAO-B',"
"18758","Mechanism, Effect","'Azithromycin', 'Drugs that prolong QT', InteractionType.DRUG_DRUG, In","'إطالة فترة QT متراكمة',"
"18767","Mechanism, Effect","'Sulfasalazine', 'Methotrexate', InteractionType.DRUG_DRUG, Interactio","'تثبيط متبادل للإفراز الأنبوبي الكلوي',"
"18776","Mechanism, Effect","'Bacitracin', 'Aminoglycosides', InteractionType.DRUG_DRUG, Interactio","'تضافر السمية الكلوية والعصبية عند الاستخدام الجهازي',"
"18785","Effect, Management","'Baclofen', 'CNS Depressants', InteractionType.DRUG_DRUG, InteractionS",""
"18787","Mechanism, Effect","'Sulfamethoxazole/Trimethoprim', 'Warfarin', InteractionType.DRUG_DRUG","'تثبيط استقلاب الوارفارين وتثبيط الفلورا المنتجة لفيتامين K'"
"18796","Mechanism, Effect","'Mupirocin', 'Other topical antibiotics', InteractionType.DRUG_DRUG, I","'تفاعلات موضعية محتملة',"
"18805","Mechanism, Effect","'Balsalazide', 'Warfarin', InteractionType.DRUG_DRUG, InteractionSever","'تأثير على الفلورا المعوية واستقلاب فيتامين K',"
"18814","Mechanism, Effect","'Rufinamide', 'Oral Contraceptives', InteractionType.DRUG_DRUG, Intera","'تحفيز استقلاب الإستروجين',"
"18823","Mechanism, Effect","'Glucagon', 'Beta-Blockers', InteractionType.DRUG_DRUG, InteractionSev","'تضاد في التأثير على الجلوكاجون',"
"18832","Mechanism, Effect","'Insulin Glargine', 'Beta-Blockers', InteractionType.DRUG_DRUG, Intera","'تثبيط أعراض هبوط السكر',"
"18841","Mechanism, Effect","'Avelumab', 'Corticosteroids', InteractionType.DRUG_DRUG, InteractionS","'تثبيط المناعة المتراكم',"
"18850","Effect, Management","'Suvorexant', 'CNS Depressants', InteractionType.DRUG_DRUG, Interactio",""
"18852","Mechanism, Effect","'Diphenhydramine', 'MAO Inhibitors', InteractionType.DRUG_DRUG, Intera","'تضخيم التأثيرات المضادة للكولين',"
"18861","Mechanism, Effect","'Benazepril', 'Potassium Supplements', InteractionType.DRUG_DRUG, Inte","'تقليل إفراز البوتاسيوم',"
"18870","Mechanism, Effect","'Olmesartan', 'NSAIDs', InteractionType.DRUG_DRUG, InteractionSeverity","'تضاد في التأثير على الكلى',"
"18879","Mechanism, Effect","'Belimumab', 'Live Vaccines', InteractionType.DRUG_DRUG, InteractionSe","'تثبيط المناعة',"
"18888","Effect, Management","'Dicyclomine', 'Anticholinergics', InteractionType.DRUG_DRUG, Interact",""
"18890","Mechanism, Effect","'Benzonatate', 'CNS Depressants', InteractionType.DRUG_DRUG, Interacti","'تأثير متراكم على الجهاز العصبي المركزي',"
"18899","Effect, Management","'Benztropine', 'Antipsychotics', InteractionType.DRUG_DRUG, Interactio",""
"18901","Mechanism, Effect","'C1 Esterase Inhibitor', 'Fibrinolytics', InteractionType.DRUG_DRUG, I","'تأثير على نظام التخثر',"
"18910","Mechanism, Effect","'Berotralstat', 'P-glycoprotein Inhibitors', InteractionType.DRUG_DRUG","'زيادة تركيز البروتورالستات',"
"18919","Mechanism, Effect","'Betamethasone', 'NSAIDs', InteractionType.DRUG_DRUG, InteractionSever","'تأثير متراكم على المعدة',"
"18928","Mechanism, Effect","'Bicalutamide', 'Warfarin', InteractionType.DRUG_DRUG, InteractionSeve","'تأثير على استقلاب الوارفارين',"
"18937","Mechanism, Effect","'Bictegravir/Emtricitabine/Tenofovir', 'Antacids', InteractionType.DRU","'تقليل امتصاص البيكتغرافير',"
"18946","Management","'Bisoprolol', 'Calcium Channel Blockers', InteractionType.DRUG_DRUG, I",""
"18948","Effect, Management","'Ibandronate', 'Calcium Supplements', InteractionType.DRUG_DRUG, Inter",""
